Indicator;Year;Region;Zone;Percentage;Real
Population covered by a mobile-cellular network (%);2018;Arab States;Urban;99,9;
Population covered by a mobile-cellular network (%);2018;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2018;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2018;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2019;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2019;Americas;Urban;100;
Population covered by a mobile-cellular network (%);2019;Arab States;Urban;99,9;
Population covered by a mobile-cellular network (%);2019;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2019;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2019;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2020;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2020;Americas;Urban;100;
Population covered by a mobile-cellular network (%);2020;Arab States;Urban;99,9;
Population covered by a mobile-cellular network (%);2020;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2020;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2020;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2021;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2021;Americas;Urban;100;
Population covered by a mobile-cellular network (%);2021;Arab States;Urban;99,9;
Population covered by a mobile-cellular network (%);2021;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2021;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2021;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2022;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2022;Americas;Urban;100;
Population covered by a mobile-cellular network (%);2022;Arab States;Urban;100;
Population covered by a mobile-cellular network (%);2022;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2022;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2022;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2023;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2023;Americas;Urban;100;
Population covered by a mobile-cellular network (%);2023;Arab States;Urban;100;
Population covered by a mobile-cellular network (%);2023;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2023;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2023;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2024;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2024;Americas;Urban;100;
Population covered by a mobile-cellular network (%);2024;Arab States;Urban;100;
Population covered by a mobile-cellular network (%);2024;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2024;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2024;Europe;Urban;100;
Population covered by at least a 3G mobile network (%);2015; World ;Total; 78,0 ;
Population covered by at least a 3G mobile network (%);2015; Low-income ;Total; 41,8 ;
Population covered by at least a 3G mobile network (%);2015; Lower-middle-income ;Total; 68,1 ;
Population covered by at least a 3G mobile network (%);2015; Upper-middle-income ;Total; 86,8 ;
Population covered by at least a 3G mobile network (%);2015; High-income ;Total; 96,1 ;
Population covered by at least a 3G mobile network (%);2015; Least Developed Countries (LDCs) ;Total; 53,2 ;
Population covered by at least a 3G mobile network (%);2015; Land Locked Developing Countries (LLDCs) ;Total; 49,6 ;
Population covered by at least a 3G mobile network (%);2015; Small Island Developing States (SIDS) ;Total; 61,7 ;
Population covered by at least a 3G mobile network (%);2015; Africa ;Total;49,6;
Population covered by at least a 3G mobile network (%);2015; Americas ;Total;91,4;
Population covered by at least a 3G mobile network (%);2015; Arab States ;Total;74,9;
Population covered by at least a 3G mobile network (%);2015; Asia-Pacific ;Total;79,4;
Population covered by at least a 3G mobile network (%);2015; CIS ;Total;70,1;
Population covered by at least a 3G mobile network (%);2015; Europe ;Total;94,3;
Population covered by at least a 3G mobile network (%);2016; World ;Total; 84,2 ;
Population covered by at least a 3G mobile network (%);2016; Low-income ;Total; 48,9 ;
Population covered by at least a 3G mobile network (%);2016; Lower-middle-income ;Total; 78,0 ;
Population covered by at least a 3G mobile network (%);2016; Upper-middle-income ;Total; 92,1 ;
Population covered by at least a 3G mobile network (%);2016; High-income ;Total; 96,6 ;
Population covered by at least a 3G mobile network (%);2016; Least Developed Countries (LDCs) ;Total; 61,9 ;
Population covered by at least a 3G mobile network (%);2016; Land Locked Developing Countries (LLDCs) ;Total; 58,0 ;
Population covered by at least a 3G mobile network (%);2016; Small Island Developing States (SIDS) ;Total; 64,0 ;
Population covered by at least a 3G mobile network (%);2016; Africa ;Total;57,5;
Population covered by at least a 3G mobile network (%);2016; Americas ;Total;92,8;
Population covered by at least a 3G mobile network (%);2016; Arab States ;Total;83,6;
Population covered by at least a 3G mobile network (%);2016; Asia-Pacific ;Total;86,8;
Population covered by at least a 3G mobile network (%);2016; CIS ;Total;74,3;
Population covered by at least a 3G mobile network (%);2016; Europe ;Total;98,0;
Population covered by at least a 3G mobile network (%);2017; World ;Total; 87,7 ;
Population covered by at least a 3G mobile network (%);2017; Low-income ;Total; 56,1 ;
Population covered by at least a 3G mobile network (%);2017; Lower-middle-income ;Total; 82,8 ;
Population covered by at least a 3G mobile network (%);2017; Upper-middle-income ;Total; 95,0 ;
Population covered by at least a 3G mobile network (%);2017; High-income ;Total; 96,9 ;
Population covered by at least a 3G mobile network (%);2017; Least Developed Countries (LDCs) ;Total; 67,7 ;
Population covered by at least a 3G mobile network (%);2017; Land Locked Developing Countries (LLDCs) ;Total; 64,6 ;
Population covered by at least a 3G mobile network (%);2017; Small Island Developing States (SIDS) ;Total; 72,7 ;
Population covered by at least a 3G mobile network (%);2017; Africa ;Total;62,6;
Population covered by at least a 3G mobile network (%);2017; Americas ;Total;94,0;
Population covered by at least a 3G mobile network (%);2017; Arab States ;Total;87,0;
Population covered by at least a 3G mobile network (%);2017; Asia-Pacific ;Total;90,9;
Population covered by at least a 3G mobile network (%);2017; CIS ;Total;80,0;
Population covered by at least a 3G mobile network (%);2017; Europe ;Total;98,2;
Population covered by at least a 3G mobile network (%);2018; World ;Total; 90,6 ;
Population covered by at least a 3G mobile network (%);2018; Low-income ;Total; 60,6 ;
Population covered by at least a 3G mobile network (%);2018; Lower-middle-income ;Total; 88,1 ;
Population covered by at least a 3G mobile network (%);2018; Upper-middle-income ;Total; 96,8 ;
Population covered by at least a 3G mobile network (%);2018; High-income ;Total; 97,2 ;
Population covered by at least a 3G mobile network (%);2018; Least Developed Countries (LDCs) ;Total; 71,9 ;
Population covered by at least a 3G mobile network (%);2018; Land Locked Developing Countries (LLDCs) ;Total; 68,9 ;
Population covered by at least a 3G mobile network (%);2018; Small Island Developing States (SIDS) ;Total; 79,9 ;
Population covered by at least a 3G mobile network (%);2018; Africa ;Total;70,3;
Population covered by at least a 3G mobile network (%);2018; Americas ;Total;94,7;
Population covered by at least a 3G mobile network (%);2018; Arab States ;Total;89,8;
Population covered by at least a 3G mobile network (%);2018; Asia-Pacific ;Total;93,9;
Population covered by at least a 3G mobile network (%);2018; CIS ;Total;81,0;
Population covered by at least a 3G mobile network (%);2018; Europe ;Total;98,6;
Population covered by at least a 3G mobile network (%);2019; World ;Total; 92,6 ;
Population covered by at least a 3G mobile network (%);2019; Low-income ;Total; 68,1 ;
Population covered by at least a 3G mobile network (%);2019; Lower-middle-income ;Total; 91,0 ;
Population covered by at least a 3G mobile network (%);2019; Upper-middle-income ;Total; 97,2 ;
Population covered by at least a 3G mobile network (%);2019; High-income ;Total; 98,3 ;
Population covered by at least a 3G mobile network (%);2019; Least Developed Countries (LDCs) ;Total; 74,4 ;
Population covered by at least a 3G mobile network (%);2019; Land Locked Developing Countries (LLDCs) ;Total; 71,7 ;
Population covered by at least a 3G mobile network (%);2019; Small Island Developing States (SIDS) ;Total; 80,1 ;
Population covered by at least a 3G mobile network (%);2019; Africa ;Total;73,7;
Population covered by at least a 3G mobile network (%);2019; Americas ;Total;94,5;
Population covered by at least a 3G mobile network (%);2019; Arab States ;Total;91,2;
Population covered by at least a 3G mobile network (%);2019; Asia-Pacific ;Total;96,3;
Population covered by at least a 3G mobile network (%);2019; CIS ;Total;87,8;
Population covered by at least a 3G mobile network (%);2019; Europe ;Total;98,7;
Population covered by at least a 3G mobile network (%);2020; World ;Total; 93,1 ;
Population covered by at least a 3G mobile network (%);2020; Low-income ;Total; 70,1 ;
Population covered by at least a 3G mobile network (%);2020; Lower-middle-income ;Total; 92,1 ;
Population covered by at least a 3G mobile network (%);2020; Upper-middle-income ;Total; 97,1 ;
Population covered by at least a 3G mobile network (%);2020; High-income ;Total; 98,4 ;
Population covered by at least a 3G mobile network (%);2020; Least Developed Countries (LDCs) ;Total; 76,1 ;
Population covered by at least a 3G mobile network (%);2020; Land Locked Developing Countries (LLDCs) ;Total; 74,1 ;
Population covered by at least a 3G mobile network (%);2020; Small Island Developing States (SIDS) ;Total; 80,7 ;
Population covered by at least a 3G mobile network (%);2020; Africa ;Total;75,9;
Population covered by at least a 3G mobile network (%);2020; Americas ;Total;94,6;
Population covered by at least a 3G mobile network (%);2020; Arab States ;Total;92,3;
Population covered by at least a 3G mobile network (%);2020; Asia-Pacific ;Total;96,5;
Population covered by at least a 3G mobile network (%);2020; CIS ;Total;89,9;
Population covered by at least a 3G mobile network (%);2020; Europe ;Total;98,7;
Population covered by at least a 3G mobile network (%);2021; World ;Total; 93,8 ;
Population covered by at least a 3G mobile network (%);2021; Low-income ;Total; 70,6 ;
Population covered by at least a 3G mobile network (%);2021; Lower-middle-income ;Total; 93,3 ;
Population covered by at least a 3G mobile network (%);2021; Upper-middle-income ;Total; 97,2 ;
Population covered by at least a 3G mobile network (%);2021; High-income ;Total; 99,3 ;
Population covered by at least a 3G mobile network (%);2021; Least Developed Countries (LDCs) ;Total; 76,7 ;
Population covered by at least a 3G mobile network (%);2021; Land Locked Developing Countries (LLDCs) ;Total; 76,1 ;
Population covered by at least a 3G mobile network (%);2021; Small Island Developing States (SIDS) ;Total; 81,2 ;
Population covered by at least a 3G mobile network (%);2021; Africa ;Total;79,1;
Population covered by at least a 3G mobile network (%);2021; Americas ;Total;94,7;
Population covered by at least a 3G mobile network (%);2021; Arab States ;Total;91,3;
Population covered by at least a 3G mobile network (%);2021; Asia-Pacific ;Total;96,6;
Population covered by at least a 3G mobile network (%);2021; CIS ;Total;95,5;
Population covered by at least a 3G mobile network (%);2021; Europe ;Total;99,0;
Population covered by at least a 3G mobile network (%);2022; World ;Total; 94,5 ;
Population covered by at least a 3G mobile network (%);2022; Low-income ;Total; 74,9 ;
Population covered by at least a 3G mobile network (%);2022; Lower-middle-income ;Total; 94,0 ;
Population covered by at least a 3G mobile network (%);2022; Upper-middle-income ;Total; 97,6 ;
Population covered by at least a 3G mobile network (%);2022; High-income ;Total; 99,3 ;
Population covered by at least a 3G mobile network (%);2022; Least Developed Countries (LDCs) ;Total; 79,6 ;
Population covered by at least a 3G mobile network (%);2022; Land Locked Developing Countries (LLDCs) ;Total; 80,9 ;
Population covered by at least a 3G mobile network (%);2022; Small Island Developing States (SIDS) ;Total; 82,8 ;
Population covered by at least a 3G mobile network (%);2022; Africa ;Total;81,9;
Population covered by at least a 3G mobile network (%);2022; Americas ;Total;95,4;
Population covered by at least a 3G mobile network (%);2022; Arab States ;Total;92,8;
Population covered by at least a 3G mobile network (%);2022; Asia-Pacific ;Total;96,9;
Population covered by at least a 3G mobile network (%);2022; CIS ;Total;96,2;
Population covered by at least a 3G mobile network (%);2022; Europe ;Total;99,1;
Population covered by at least a 3G mobile network (%);2023; World ;Total; 95,4 ;
Population covered by at least a 3G mobile network (%);2023; Low-income ;Total; 79,2 ;
Population covered by at least a 3G mobile network (%);2023; Lower-middle-income ;Total; 95,1 ;
Population covered by at least a 3G mobile network (%);2023; Upper-middle-income ;Total; 98,1 ;
Population covered by at least a 3G mobile network (%);2023; High-income ;Total; 99,5 ;
Population covered by at least a 3G mobile network (%);2023; Least Developed Countries (LDCs) ;Total; 83,8 ;
Population covered by at least a 3G mobile network (%);2023; Land Locked Developing Countries (LLDCs) ;Total; 84,9 ;
Population covered by at least a 3G mobile network (%);2023; Small Island Developing States (SIDS) ;Total; 84,6 ;
Population covered by at least a 3G mobile network (%);2023; Africa ;Total;85,0;
Population covered by at least a 3G mobile network (%);2023; Americas ;Total;95,6;
Population covered by at least a 3G mobile network (%);2023; Arab States ;Total;94,7;
Population covered by at least a 3G mobile network (%);2023; Asia-Pacific ;Total;97,5;
Population covered by at least a 3G mobile network (%);2023; CIS ;Total;97,5;
Population covered by at least a 3G mobile network (%);2023; Europe ;Total;99,4;
Population covered by at least a 3G mobile network (%);2024; World ;Total; 95,6 ;
Population covered by at least a 3G mobile network (%);2024; Low-income ;Total; 80,3 ;
Population covered by at least a 3G mobile network (%);2024; Lower-middle-income ;Total; 95,3 ;
Population covered by at least a 3G mobile network (%);2024; Upper-middle-income ;Total; 98,1 ;
Population covered by at least a 3G mobile network (%);2024; High-income ;Total; 99,5 ;
Population covered by at least a 3G mobile network (%);2024; Least Developed Countries (LDCs) ;Total; 84,7 ;
Population covered by at least a 3G mobile network (%);2024; Land Locked Developing Countries (LLDCs) ;Total; 86,0 ;
Population covered by at least a 3G mobile network (%);2024; Small Island Developing States (SIDS) ;Total; 84,8 ;
Population covered by at least a 3G mobile network (%);2024; Africa ;Total;85,9;
Population covered by at least a 3G mobile network (%);2024; Americas ;Total;95,7;
Population covered by at least a 3G mobile network (%);2024; Arab States ;Total;94,9;
Population covered by at least a 3G mobile network (%);2024; Asia-Pacific ;Total;97,6;
Population covered by at least a 3G mobile network (%);2024; CIS ;Total;97,6;
Population covered by at least a 3G mobile network (%);2024; Europe ;Total;99,4;
Population covered by at least a 3G mobile network (%);2015; World ;Urban; 96,6 ;
Population covered by at least a 3G mobile network (%);2015; Low-income ;Urban; 72,2 ;
Population covered by at least a 3G mobile network (%);2015; Lower-middle-income ;Urban; 93,3 ;
Population covered by at least a 3G mobile network (%);2015; Upper-middle-income ;Urban; 98,5 ;
Population covered by at least a 3G mobile network (%);2015; High-income ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2015; Least Developed Countries (LDCs) ;Urban; 87,0 ;
Population covered by at least a 3G mobile network (%);2015; Land Locked Developing Countries (LLDCs) ;Urban; 85,7 ;
Population covered by at least a 3G mobile network (%);2015; Small Island Developing States (SIDS) ;Urban; 73,7 ;
Population covered by at least a 3G mobile network (%);2015; Africa ;Urban; 86,1 ;
Population covered by at least a 3G mobile network (%);2015; Americas ;Urban; 97,8 ;
Population covered by at least a 3G mobile network (%);2015; Arab States ;Urban; 92,5 ;
Population covered by at least a 3G mobile network (%);2015; Asia-Pacific ;Urban; 98,6 ;
Population covered by at least a 3G mobile network (%);2015; CIS ;Urban; 97,5 ;
Population covered by at least a 3G mobile network (%);2015; Europe ;Urban; 97,1 ;
Population covered by at least a 3G mobile network (%);2016; World ;Urban; 98,2 ;
Population covered by at least a 3G mobile network (%);2016; Low-income ;Urban; 77,8 ;
Population covered by at least a 3G mobile network (%);2016; Lower-middle-income ;Urban; 97,7 ;
Population covered by at least a 3G mobile network (%);2016; Upper-middle-income ;Urban; 99,1 ;
Population covered by at least a 3G mobile network (%);2016; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2016; Least Developed Countries (LDCs) ;Urban; 89,8 ;
Population covered by at least a 3G mobile network (%);2016; Land Locked Developing Countries (LLDCs) ;Urban; 93,1 ;
Population covered by at least a 3G mobile network (%);2016; Small Island Developing States (SIDS) ;Urban; 75,0 ;
Population covered by at least a 3G mobile network (%);2016; Africa ;Urban; 92,8 ;
Population covered by at least a 3G mobile network (%);2016; Americas ;Urban; 98,5 ;
Population covered by at least a 3G mobile network (%);2016; Arab States ;Urban; 97,9 ;
Population covered by at least a 3G mobile network (%);2016; Asia-Pacific ;Urban; 98,6 ;
Population covered by at least a 3G mobile network (%);2016; CIS ;Urban; 98,9 ;
Population covered by at least a 3G mobile network (%);2016; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2017; World ;Urban; 99,2 ;
Population covered by at least a 3G mobile network (%);2017; Low-income ;Urban; 88,2 ;
Population covered by at least a 3G mobile network (%);2017; Lower-middle-income ;Urban; 98,7 ;
Population covered by at least a 3G mobile network (%);2017; Upper-middle-income ;Urban; 99,5 ;
Population covered by at least a 3G mobile network (%);2017; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2017; Least Developed Countries (LDCs) ;Urban; 96,9 ;
Population covered by at least a 3G mobile network (%);2017; Land Locked Developing Countries (LLDCs) ;Urban; 97,8 ;
Population covered by at least a 3G mobile network (%);2017; Small Island Developing States (SIDS) ;Urban; 87,5 ;
Population covered by at least a 3G mobile network (%);2017; Africa ;Urban; 94,1 ;
Population covered by at least a 3G mobile network (%);2017; Americas ;Urban; 99,2 ;
Population covered by at least a 3G mobile network (%);2017; Arab States ;Urban; 98,3 ;
Population covered by at least a 3G mobile network (%);2017; Asia-Pacific ;Urban; 99,2 ;
Population covered by at least a 3G mobile network (%);2017; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2017; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2018; World ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2018; Low-income ;Urban; 91,6 ;
Population covered by at least a 3G mobile network (%);2018; Lower-middle-income ;Urban; 98,7 ;
Population covered by at least a 3G mobile network (%);2018; Upper-middle-income ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2018; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2018; Least Developed Countries (LDCs) ;Urban; 99,3 ;
Population covered by at least a 3G mobile network (%);2018; Land Locked Developing Countries (LLDCs) ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2018; Small Island Developing States (SIDS) ;Urban; 96,5 ;
Population covered by at least a 3G mobile network (%);2018; Africa ;Urban; 95,6 ;
Population covered by at least a 3G mobile network (%);2018; Americas ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2018; Arab States ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2018; Asia-Pacific ;Urban; 99,2 ;
Population covered by at least a 3G mobile network (%);2018; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2018; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2019; World ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2019; Low-income ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2019; Lower-middle-income ;Urban; 99,2 ;
Population covered by at least a 3G mobile network (%);2019; Upper-middle-income ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2019; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2019; Least Developed Countries (LDCs) ;Urban; 99,3 ;
Population covered by at least a 3G mobile network (%);2019; Land Locked Developing Countries (LLDCs) ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2019; Small Island Developing States (SIDS) ;Urban; 96,9 ;
Population covered by at least a 3G mobile network (%);2019; Africa ;Urban; 96,9 ;
Population covered by at least a 3G mobile network (%);2019; Americas ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2019; Arab States ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2019; Asia-Pacific ;Urban; 99,5 ;
Population covered by at least a 3G mobile network (%);2019; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2019; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2020; World ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2020; Low-income ;Urban; 99,0 ;
Population covered by at least a 3G mobile network (%);2020; Lower-middle-income ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2020; Upper-middle-income ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2020; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2020; Least Developed Countries (LDCs) ;Urban; 99,3 ;
Population covered by at least a 3G mobile network (%);2020; Land Locked Developing Countries (LLDCs) ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2020; Small Island Developing States (SIDS) ;Urban; 97,6 ;
Population covered by at least a 3G mobile network (%);2020; Africa ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2020; Americas ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2020; Arab States ;Urban; 99,3 ;
Population covered by at least a 3G mobile network (%);2020; Asia-Pacific ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2020; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2020; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2021; World ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2021; Low-income ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2021; Lower-middle-income ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2021; Upper-middle-income ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2021; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2021; Least Developed Countries (LDCs) ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2021; Land Locked Developing Countries (LLDCs) ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2021; Small Island Developing States (SIDS) ;Urban; 98,7 ;
Population covered by at least a 3G mobile network (%);2021; Africa ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2021; Americas ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2021; Arab States ;Urban; 99,2 ;
Population covered by at least a 3G mobile network (%);2021; Asia-Pacific ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2021; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2021; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2022; World ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2022; Low-income ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2022; Lower-middle-income ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2022; Upper-middle-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2022; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2022; Least Developed Countries (LDCs) ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2022; Land Locked Developing Countries (LLDCs) ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2022; Small Island Developing States (SIDS) ;Urban; 99,1 ;
Population covered by at least a 3G mobile network (%);2022; Africa ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2022; Americas ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2022; Arab States ;Urban; 99,4 ;
Population covered by at least a 3G mobile network (%);2022; Asia-Pacific ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2022; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2022; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2023; World ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2023; Low-income ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2023; Lower-middle-income ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2023; Upper-middle-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2023; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2023; Least Developed Countries (LDCs) ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2023; Land Locked Developing Countries (LLDCs) ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2023; Small Island Developing States (SIDS) ;Urban; 99,1 ;
Population covered by at least a 3G mobile network (%);2023; Africa ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2023; Americas ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2023; Arab States ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2023; Asia-Pacific ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2023; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2023; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2024; World ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2024; Low-income ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2024; Lower-middle-income ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2024; Upper-middle-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2024; High-income ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2024; Least Developed Countries (LDCs) ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2024; Land Locked Developing Countries (LLDCs) ;Urban; 99,8 ;
Population covered by at least a 3G mobile network (%);2024; Small Island Developing States (SIDS) ;Urban; 99,2 ;
Population covered by at least a 3G mobile network (%);2024; Africa ;Urban; 99,9 ;
Population covered by at least a 3G mobile network (%);2024; Americas ;Urban; 99,7 ;
Population covered by at least a 3G mobile network (%);2024; Arab States ;Urban; 99,6 ;
Population covered by at least a 3G mobile network (%);2024; Asia-Pacific ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2024; CIS ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2024; Europe ;Urban; 100,0 ;
Population covered by at least a 3G mobile network (%);2015; World ;Rural; 57,1 ;
Population covered by at least a 3G mobile network (%);2015; Low-income ;Rural; 27,2 ;
Population covered by at least a 3G mobile network (%);2015; Lower-middle-income ;Rural; 51,1 ;
Population covered by at least a 3G mobile network (%);2015; Upper-middle-income ;Rural; 70,3 ;
Population covered by at least a 3G mobile network (%);2015; High-income ;Rural; 81,3 ;
Population covered by at least a 3G mobile network (%);2015; Least Developed Countries (LDCs) ;Rural; 37,4 ;
Population covered by at least a 3G mobile network (%);2015; Land Locked Developing Countries (LLDCs) ;Rural; 34,4 ;
Population covered by at least a 3G mobile network (%);2015; Small Island Developing States (SIDS) ;Rural; 42,2 ;
Population covered by at least a 3G mobile network (%);2015; Africa ;Rural; 29,7 ;
Population covered by at least a 3G mobile network (%);2015; Americas ;Rural; 65,1 ;
Population covered by at least a 3G mobile network (%);2015; Arab States ;Rural; 53,5 ;
Population covered by at least a 3G mobile network (%);2015; Asia-Pacific ;Rural; 62,9 ;
Population covered by at least a 3G mobile network (%);2015; CIS ;Rural; 17,6 ;
Population covered by at least a 3G mobile network (%);2015; Europe ;Rural; 86,3 ;
Population covered by at least a 3G mobile network (%);2016; World ;Rural; 68,2 ;
Population covered by at least a 3G mobile network (%);2016; Low-income ;Rural; 35,6 ;
Population covered by at least a 3G mobile network (%);2016; Lower-middle-income ;Rural; 65,2 ;
Population covered by at least a 3G mobile network (%);2016; Upper-middle-income ;Rural; 80,6 ;
Population covered by at least a 3G mobile network (%);2016; High-income ;Rural; 82,7 ;
Population covered by at least a 3G mobile network (%);2016; Least Developed Countries (LDCs) ;Rural; 48,4 ;
Population covered by at least a 3G mobile network (%);2016; Land Locked Developing Countries (LLDCs) ;Rural; 42,9 ;
Population covered by at least a 3G mobile network (%);2016; Small Island Developing States (SIDS) ;Rural; 46,1 ;
Population covered by at least a 3G mobile network (%);2016; Africa ;Rural; 37,4 ;
Population covered by at least a 3G mobile network (%);2016; Americas ;Rural; 69,5 ;
Population covered by at least a 3G mobile network (%);2016; Arab States ;Rural; 63,3 ;
Population covered by at least a 3G mobile network (%);2016; Asia-Pacific ;Rural; 76,3 ;
Population covered by at least a 3G mobile network (%);2016; CIS ;Rural; 26,9 ;
Population covered by at least a 3G mobile network (%);2016; Europe ;Rural; 92,1 ;
Population covered by at least a 3G mobile network (%);2017; World ;Rural; 74,3 ;
Population covered by at least a 3G mobile network (%);2017; Low-income ;Rural; 40,0 ;
Population covered by at least a 3G mobile network (%);2017; Lower-middle-income ;Rural; 72,7 ;
